batch,scientific_name
1,Bellis perennis
1,Lavandula angustifolia
1,Helianthus annuus
1,Rosa setigera
1,Dianthus superbus
1,Calochortus fimbriatus
1,Hydrangea macrophylla
1,Phalaenopsis hybrid
1,Paeonia suffruticosa
1,Cyclamen persicum
1,Acacia dealbata
1,Erysimum cheiri
1,Freesia laxa
1,Pelargonium panduriforme
1,Wisteria sinensis
1,Anemonoides blanda
1,Calendula officinalis
1,Dahlia pinnata
1,Hibiscus rosa-sinensis
1,Primula tschuktschorum
1,Rhododendron catawbiense
1,Myosotis sylvatica
1,Campanula persicifolia
1,Antirrhinum majus
1,Campanula medium
1,Chrysanthemum morifolium
1,Convallaria majalis
1,Digitalis purpurea
1,Iris versicolor
1,Jasminum officinale
1,Lilium bulbiferum
1,Lupinus polyphyllus
1,Narcissus tazetta
1,Nelumbo nucifera
1,Strelitzia reginae
1,Taraxacum officinale
1,Dianthus plumarius
1,Anthurium andraeanum
1,Centaurea cyanus
1,Cosmos bipinnatus
1,Crocus vernus
1,Echinacea purpurea
1,Gladiolus illyricus
1,Lilium lancifolium
1,Petunia hybrida
1,Syringa vulgaris
1,Alcea rosea
1,Agapanthus africanus
1,Clematis vitalba
1,Delphinium elatum
1,Eustoma russellianum
1,Galanthus nivalis
1,Gypsophila paniculata
1,Mirabilis jalapa
1,Muscari armeniacum
1,Passiflora edulis
1,Ranunculus californicus
1,Vinca minor
1,Zantedeschia aethiopica
2,Clematis vitalba
2,Delphinium elatum
2,Eustoma russellianum
2,Galanthus nivalis
2,Gypsophila paniculata
2,Mirabilis jalapa
2,Muscari armeniacum
2,Passiflora edulis
2,Ranunculus californicus
2,Vinca minor
2,Zantedeschia aethiopica
2,Iris germanica
2,Paeonia lactiflora
2,Papaver orientale
2,Aquilegia vulgaris
2,Convolvulus tricolor
2,Gaillardia x grandiflora
2,Rudbeckia hirta
2,Callistephus chinensis
2,Zinnia elegans
2,Tagetes erecta
2,Lathyrus odoratus
2,Salvia splendens
2,Scabiosa atropurpurea
2,Verbena bonariensis
2,Gazania rigens
2,Portulaca grandiflora
2,Matthiola incana
2,Alstroemeria aurea
2,Heliconia rostrata
2,Plumeria rubra
2,Nerium oleander
2,Clematis montana
2,Tropaeolum majus
2,Impatiens walleriana
2,Fuchsia magellanica
2,Pelargonium x hortorum
2,Begonia x semperflorens
2,Xerochrysum bracteatum
2,Echinops ritro
2,Agastache foeniculum
2,Astilbe chinensis
2,Kniphofia uvaria
2,Crocosmia x crocosmiiflora
2,Allium giganteum
2,Achillea millefolium
2,Lychnis coronaria
2,Geranium pratense
2,Platycodon grandiflorus
2,Phlox paniculata
2,Helenium autumnale
2,Nymphaea alba
2,Hypericum calycinum
2,Heuchera sanguinea
2,Thalictrum aquilegiifolium
2,Bougainvillea glabra
2,Protea cynaroides
2,Hemerocallis fulva
2,Penstemon digitalis
3,Tulipa gesneriana
3,Rosa canina
3,Camellia japonica
3,Magnolia stellata
3,Hyacinthus orientalis
3,Narcissus pseudonarcissus
3,Dianthus barbatus
3,Viola x wittrockiana
3,Primula vulgaris
3,Papaver rhoeas
3,Nigella damascena
3,Lobelia erinus
3,Malva sylvestris
3,Oenothera biennis
3,Gerbera jamesonii
3,Canna x generalis
3,Celosia argentea
3,Catharanthus roseus
3,Ipomoea purpurea
3,Limonium sinuatum
3,Heliotropium arborescens
3,Liatris spicata
3,Monarda didyma
3,Leucanthemum x superbum
3,Aconitum napellus
3,Bergenia cordifolia
3,Helleborus niger
3,Filipendula ulmaria
3,Baptisia australis
3,Lobularia maritima
3,Moluccella laevis
3,Clarkia unguiculata
3,Amaranthus caudatus
3,Phacelia tanacetifolia
3,Salvia farinacea
3,Anchusa azurea
3,Trollius europaeus
3,Veronica spicata
3,Coreopsis grandiflora
3,Geum chiloense
3,Gloriosa superba
3,Ornithogalum umbellatum
3,Polianthes tuberosa
3,Tigridia pavonia
3,Tithonia rotundifolia
3,Scilla siberica
3,Fritillaria imperialis
3,Anemone coronaria
3,Ranunculus asiaticus
3,Eremurus robustus
3,Echium vulgare
3,Linaria vulgaris
3,Silene dioica
3,Nemophila menziesii
3,Osteospermum ecklonis
3,Trachelium caeruleum
3,Reseda odorata
3,Euphorbia polychroma
3,Linum perenne
